03:35:24:213 [ALWAYS]	GUDE Logging Started
03:35:25:038 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
03:35:25:038 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
03:35:25:038 [ERROR]	Initialize resume cache pointer failure
03:35:25:039 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
03:35:25:039 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
03:35:33:507 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
03:35:33:507 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
03:35:33:507 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
03:35:33:507 [ERROR]	Initialize resume cache pointer failure
03:35:33:507 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
03:35:33:507 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
